5300 2 2
1 2 1.14 -0.114
2 1 -1.52 -1.15
3 2 -1.05 0.72
4 1 -0.916 0.397
5 1 -1.09 0.437
6 1 -0.584 0.0937
7 2 1.83 0.452
8 1 -1.25 -0.286
9 1 1.7 1.21
10 1 -0.482 -0.485
11 2 1.79 -0.459
12 2 -0.122 -0.808
13 1 0.0809 1.93
14 1 -0.541 -0.332
15 2 -1.02 0.619
16 2 -0.768 -1.04
17 1 -1.69 -0.0461
18 1 1.26 1.21
19 2 0.724 0.989
20 2 0.444 1.99
21 2 -1.01 -1.36
22 1 -0.863 0.496
23 1 1.16 -0.458
24 1 -0.595 -0.651
25 1 -0.77 0.364
26 1 -0.871 -0.825
27 1 0.996 -1.7
28 2 1.28 0.691
29 2 0.925 0.895
30 2 -0.687 -1.29
31 1 1.74 0.964
32 1 1.18 -0.335
33 1 2.52 1.43
34 2 1.71 -0.044
35 1 0.271 -0.591
36 2 1.12 0.626
37 2 1.3 0.196
38 1 -1.59 -0.68
39 1 0.408 0.0673
40 2 1.13 1.48
41 2 0.763 0.921
42 2 -1.41 1.11
43 2 -0.75 -0.881
44 2 1.16 0.978
45 2 1.13 0.405
46 2 -0.522 -1.34
47 2 -1.41 0.894
48 1 0.00902 -0.434
49 1 -2.14 -1.43
50 2 -1.31 1.25
51 2 0.041 -1.13
52 2 0.0483 0.866
53 2 -2.11 0.193
54 2 0.522 1.46
55 2 0.0284 1.62
56 1 0.396 -0.606
57 2 0.536 0.921
58 1 0.315 -0.182
59 2 -0.123 -1.07
60 2 0.526 1.48
61 1 0.00665 0.0118
62 1 -0.352 -0.49
63 2 -0.0701 -1.23
64 2 -0.149 -1.2
65 1 0.785 0.0481
66 2 -1.62 0.593
67 2 -0.0314 -1.01
68 2 -0.285 -1.1
69 1 1.33 1.51
70 1 1.09 -1.37
71 2 -0.223 -1.28
72 2 -0.0341 -1.07
73 2 1.22 1.13
74 1 -1.67 -1.26
75 2 1.97 -0.772
76 1 -0.508 -0.715
77 1 0.603 -0.108
78 1 -0.323 -0.213
79 2 -0.124 -1.12
80 2 -0.439 -0.961
81 1 0.201 0.0024
82 2 0.812 0.708
83 2 0.888 0.817
84 1 0.0238 0.0836
85 2 0.415 -1
86 1 -0.308 2.19
87 1 0.767 -0.248
88 1 1.23 -1.2
89 1 1.33 1.63
90 1 0.27 0.0491
91 1 -1.69 -1.87
92 1 0.495 -0.281
93 2 -0.519 -0.799
94 2 -1.99 0.549
95 1 1.36 -0.732
96 2 -1.03 0.654
